wals code	name	value	description	latitude	longitude	genus	family	area
aar	Aari	21	SV&OV&[V-Neg]	6.0	36.5833333333	South Omotic	Afro-Asiatic	Word Order
aba	Abau	4	SOVNeg	-4.0	141.25	Upper Sepik	Sepik	Word Order
abk	Abkhaz	15	More than one construction	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abv	Abui	4	SOVNeg	-8.25	124.666666667	Greater Alor	Timor-Alor-Pantar	Word Order
adg	Adang	17	OptDoubleNeg	-8.2	124.0	Greater Alor	Timor-Alor-Pantar	Word Order
ain	Ainu	3	SONegV	43.0	143.0	Ainu	Ainu	Word Order
ajg	Ajagbe	15	More than one construction	7.0	1.75	Kwa	Niger-Congo	Word Order
akh	Akha	3	SONegV	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Word Order
all	Ala'ala	14	Other NegV	-8.91666666667	146.75	Oceanic	Austronesian	Word Order
ala	Alamblak	3	SONegV	-4.66666666667	143.333333333	Sepik Hill	Sepik	Word Order
aly	Alyawarra	6	SO[V-Neg]	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
amn	Amanab	16	ObligDoubleNeg	-3.58333333333	141.25	Border	Border	Word Order
amb	Ambulas	15	More than one construction	-3.83333333333	143.0	Middle Sepik	Sepik	Word Order
amt	Amdo (Themchen)	20	SV&OV&[Neg-V]	38.0	98.0	Bodic	Sino-Tibetan	Word Order
ame	Amele	17	OptDoubleNeg	-5.25	145.583333333	Madang	Trans-New Guinea	Word Order
amh	Amharic	16	ObligDoubleNeg	10.0	38.0	Semitic	Afro-Asiatic	Word Order
amx	Anamuxra	16	ObligDoubleNeg	-4.66666666667	145.0	Madang	Trans-New Guinea	Word Order
agm	Angami	4	SOVNeg	25.6666666667	94.5	Kuki-Chin	Sino-Tibetan	Word Order
ang	Anggor	6	SO[V-Neg]	-3.75	141.166666667	Senagi	Senagi	Word Order
ao	Ao	17	OptDoubleNeg	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Word Order
apw	Apache (Western)	16	ObligDoubleNeg	33.75	-110.0	Athapaskan	Na-Dene	Word Order
apl	Apalaí	15	More than one construction	0.0	-54.0	Cariban	Cariban	Word Order
apt	Apatani	6	SO[V-Neg]	27.5	93.75	Tani	Sino-Tibetan	Word Order
abn	Arabana	14	Other NegV	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Word Order
ana	Araona	16	ObligDoubleNeg	-12.3333333333	-67.75	Tacanan	Tacanan	Word Order
arc	Archi	6	SO[V-Neg]	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Word Order
arm	Armenian (Eastern)	15	More than one construction	40.0	45.0	Armenian	Indo-European	Word Order
arw	Armenian (Western)	15	More than one construction	38.5	43.5	Armenian	Indo-European	Word Order
amp	Arrernte (Mparntwe)	6	SO[V-Neg]	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
asm	Asmat	4	SOVNeg	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Word Order
ass	Assamese	5	SO[Neg-V]	26.0	93.0	Indic	Indo-European	Word Order
ath	Athpare	6	SO[V-Neg]	27.0	87.3333333333	Mahakiranti	Sino-Tibetan	Word Order
ava	Avar	4	SOVNeg	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Word Order
awa	Awa	3	SONegV	-6.66666666667	145.75	Eastern Highlands	Trans-New Guinea	Word Order
awp	Awa Pit	16	ObligDoubleNeg	1.5	-78.25	Barbacoan	Barbacoan	Word Order
awt	Awtuw	5	SO[Neg-V]	-3.58333333333	142.0	Ram	Sepik	Word Order
aym	Aymara (Central)	15	More than one construction	-17.0	-69.0	Aymaran	Aymaran	Word Order
azi	Azari (Iranian)	6	SO[V-Neg]	37.5	47.0	Turkic	Altaic	Word Order
aze	Azerbaijani	6	SO[V-Neg]	40.5	48.5	Turkic	Altaic	Word Order
bdm	Badimaya	14	Other NegV	-27.6666666667	118.0	Western Pama-Nyungan	Pama-Nyungan	Word Order
baf	Bafut	16	ObligDoubleNeg	6.25	9.91666666667	Bantoid	Niger-Congo	Word Order
blt	Balti	15	More than one construction	35.0	76.0	Bodic	Sino-Tibetan	Word Order
bam	Bambara	2	SNegOV	12.5	-7.5	Western Mande	Mande	Word Order
bao	Bao'an	14	Other NegV	35.75	102.833333333	Mongolic	Altaic	Word Order
brl	Baragaunle	5	SO[Neg-V]	28.8333333333	83.8333333333	Bodic	Sino-Tibetan	Word Order
baa	Barai	3	SONegV	-9.33333333333	148.083333333	Koiarian	Trans-New Guinea	Word Order
brp	Barupu	2	SNegOV	-3.08333333333	142.083333333	Warapu	Skou	Word Order
bsk	Bashkir	21	SV&OV&[V-Neg]	53.0	58.0	Turkic	Altaic	Word Order
bsq	Basque	3	SONegV	43.0	-3.0	Basque	Basque	Word Order
bzi	Bauzi	4	SOVNeg	-2.5	137.5	East Geelvink Bay	East Geelvink Bay	Word Order
