Matthew Baerman, Dunstan Brown. 2013. Syncretism in Verbal Person/Number Marking.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/29, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	2	Syncretic	-29.0	-61.0	South Guaicuruan	Guaicuruan	Morphology
abk	Abkhaz	3	Not syncretic	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Morphology
aco	Acoma	3	Not syncretic	34.9166666667	-107.583333333	Keresan	Keresan	Morphology
ain	Ainu	3	Not syncretic	43.0	143.0	Ainu	Ainu	Morphology
ala	Alamblak	3	Not syncretic	-4.66666666667	143.333333333	Sepik Hill	Sepik	Morphology
ame	Amele	2	Syncretic	-5.25	145.583333333	Madang	Trans-New Guinea	Morphology
apu	Apurinã	3	Not syncretic	-9.0	-67.0	Purus	Arawakan	Morphology
aeg	Arabic (Egyptian)	2	Syncretic	30.0	31.0	Semitic	Afro-Asiatic	Morphology
ana	Araona	1	No subject person/number marking	-12.3333333333	-67.75	Tacanan	Tacanan	Morphology
arp	Arapesh (Mountain)	3	Not syncretic	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Morphology
arm	Armenian (Eastern)	3	Not syncretic	40.0	45.0	Armenian	Indo-European	Morphology
asm	Asmat	3	Not syncretic	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Morphology
awp	Awa Pit	2	Syncretic	1.5	-78.25	Barbacoan	Barbacoan	Morphology
aym	Aymara (Central)	2	Syncretic	-17.0	-69.0	Aymaran	Aymaran	Morphology
bag	Bagirmi	2	Syncretic	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Morphology
bam	Bambara	1	No subject person/number marking	12.5	-7.5	Western Mande	Mande	Morphology
brs	Barasano	3	Not syncretic	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Morphology
bsq	Basque	3	Not syncretic	43.0	-3.0	Basque	Basque	Morphology
bkr	Batak (Karo)	3	Not syncretic	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Morphology
baw	Bawm	3	Not syncretic	22.5	92.25	Kuki-Chin	Sino-Tibetan	Morphology
bej	Beja	2	Syncretic	18.0	36.0	Beja	Afro-Asiatic	Morphology
bma	Berber (Middle Atlas)	3	Not syncretic	33.0	-5.0	Berber	Afro-Asiatic	Morphology
brh	Brahui	3	Not syncretic	28.5	67.0	Northern Dravidian	Dravidian	Morphology
bri	Bribri	1	No subject person/number marking	9.41666666667	-83.0	Talamanca	Chibchan	Morphology
brm	Burmese	1	No subject person/number marking	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Morphology
bur	Burushaski	2	Syncretic	36.5	74.5	Burushaski	Burushaski	Morphology
