Matthew S. Dryer. 2013. Position of Negative Morpheme With Respect to Subject, Object, and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/144, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
agc	Agta (Central)	6	None	17.9666666667	121.833333333	Greater Central Philippine	Austronesian	Word Order
agd	Agta (Dupaningan)	6	None	18.0	122.083333333	Greater Central Philippine	Austronesian	Word Order
als	Alsea	6	None	44.6666666667	-123.916666667	Alsea	Oregon Coast	Word Order
anj	Anejom	6	None	-20.2	169.8	Oceanic	Austronesian	Word Order
ann	Anindilyakwa	6	None	-14.0	136.5	Anindilyakwa	Gunwinyguan	Word Order
ams	Arabic (Modern Standard)	6	None	25.0	42.0	Semitic	Afro-Asiatic	Word Order
amr	Arabic (Moroccan)	4	Suffix&OnlyWithAnotherNeg	34.0	-6.0	Semitic	Afro-Asiatic	Word Order
asy	Arabic (Syrian)	6	None	34.0	38.0	Semitic	Afro-Asiatic	Word Order
ata	Atayal	6	None	24.5	121.333333333	Atayalic	Austronesian	Word Order
bwc	Bajau (West Coast)	6	None	6.33333333333	116.333333333	Sama-Bajaw	Austronesian	Word Order
bbu	Barambu	6	None	3.5	27.0	Ubangi	Niger-Congo	Word Order
bkr	Batak (Karo)	6	None	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Word Order
bto	Batak (Toba)	6	None	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Word Order
baq	Baure	6	None	-13.0833333333	-64.1666666667	Bolivia-Parana	Arawakan	Word Order
bco	Bella Coola	6	None	52.5	-126.666666667	Bella Coola	Salishan	Word Order
bch	Berber (Chaouia)	6	None	35.0	7.0	Berber	Afro-Asiatic	Word Order
bfg	Berber (Figuig)	6	None	32.5	-1.5	Berber	Afro-Asiatic	Word Order
btk	Bontok	6	None	17.0833333333	120.916666667	Northern Luzon	Austronesian	Word Order
cak	Cakchiquel	2	Word&OnlyWithAnotherNeg	14.5	-91.0	Mayan	Mayan	Word Order
cyv	Cayuvava	6	None	-13.5	-65.5	Cayuvava	Cayuvava	Word Order
cha	Chamorro	6	None	13.45	144.75	Chamorro	Austronesian	Word Order
cso	Chatino (Sierra Occidental)	6	None	16.25	-97.3333333333	Zapotecan	Oto-Manguean	Word Order
cya	Chatino (Yaitepec)	6	None	16.25	-97.25	Zapotecan	Oto-Manguean	Word Order
ccm	Chinantec (Comaltepec)	6	None	17.5833333333	-96.4166666667	Chinantecan	Oto-Manguean	Word Order
cle	Chinantec (Lealao)	6	None	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Word Order
cpl	Chinantec (Palantla)	6	None	18.8333333333	-96.75	Chinantecan	Oto-Manguean	Word Order
chq	Chinantec (Quiotepec)	6	None	17.5833333333	-96.6666666667	Chinantecan	Oto-Manguean	Word Order
ckl	Chinook (Lower)	6	None	46.25	-123.5	Chinookan	Penutian	Word Order
chx	Chontal (Huamelultec Oaxaca)	6	None	16.0	-95.75	Tequistlatecan	Tequistlatecan	Word Order
chj	Chuj	4	Suffix&OnlyWithAnotherNeg	15.9166666667	-91.5833333333	Mayan	Mayan	Word Order
cba	Chumash (Barbareño)	6	None	34.5	-120.25	Chumash	Chumash	Word Order
crn	Cornish	6	None	50.3333333333	-5.0	Celtic	Indo-European	Word Order
cem	Cèmuhî	6	None	-20.8333333333	165.166666667	Oceanic	Austronesian	Word Order
did	Didinga	6	None	4.5	33.5	Surmic	Eastern Sudanic	Word Order
dom	Domari	3	Suffix&OptDoubleNeg	32.0	35.0	Indic	Indo-European	Word Order
dre	Drehu	6	None	-21.0	167.25	Oceanic	Austronesian	Word Order
fij	Fijian	6	None	-17.8333333333	178.0	Oceanic	Austronesian	Word Order
gae	Gaelic (Scots)	6	None	57.0	-4.0	Celtic	Indo-European	Word Order
grf	Garífuna	6	None	15.6666666667	-88.0	Caribbean Arawakan	Arawakan	Word Order
gel	Gela	6	None	-9.08333333333	160.25	Oceanic	Austronesian	Word Order
goa	Goajiro	6	None	12.0	-72.0	Caribbean Arawakan	Arawakan	Word Order
grk	Greek (Modern)	6	None	39.0	22.0	Greek	Indo-European	Word Order
gjj	Guajajara	6	None	-5.0	-46.0	Tupi-Guaraní	Tupian	Word Order
gku	Gününa Küne	6	None	-41.0	-67.0	Puelche	Chon	Word Order
hlu	Halkomelem (Upriver)	6	None	49.25	-121.916666667	Central Salish	Salishan	Word Order
haw	Hawaiian	6	None	19.5833333333	-155.5	Oceanic	Austronesian	Word Order
hdi	Hdi	2	Word&OnlyWithAnotherNeg	11.8666666667	13.7166666667	Biu-Mandara	Afro-Asiatic	Word Order
hei	Heiltsuk	6	None	52.0	-127.5	Northern Wakashan	Wakashan	Word Order
hil	Hiligaynon	6	None	10.25	123.0	Greater Central Philippine	Austronesian	Word Order
hoa	Hoava	6	None	-8.08333333333	157.5	Oceanic	Austronesian	Word Order
ifu	Ifugao (Batad)	6	None	16.8333333333	121.083333333	Northern Luzon	Austronesian	Word Order
ign	Ignaciano	6	None	-15.1666666667	-65.4166666667	Bolivia-Parana	Arawakan	Word Order
ik	Ik	6	None	3.75	34.1666666667	Kuliak	Eastern Sudanic	Word Order
iri	Irish	6	None	53.0	-8.0	Celtic	Indo-European	Word Order
jak	Jakaltek	6	None	15.6666666667	-91.6666666667	Mayan	Mayan	Word Order
kbl	Kabyle	2	Word&OnlyWithAnotherNeg	36.5	5.0	Berber	Afro-Asiatic	Word Order
kdz	Kadazan	6	None	5.91666666667	117.166666667	North Borneo	Austronesian	Word Order
kls	Kalispel	6	None	48.0	-117.0	Interior Salish	Salishan	Word Order
kmj	Karimojong	6	None	3.0	34.1666666667	Nilotic	Eastern Sudanic	Word Order
klv	Kilivila	6	None	-8.5	151.083333333	Oceanic	Austronesian	Word Order
kri	Kipea	1	Suffix&NoDoubleNeg	-10.0	-37.0	Kariri	Kariri	Word Order
krb	Kiribati	6	None	1.33333333333	173.0	Oceanic	Austronesian	Word Order
kkt	Kokota	6	None	-8.0	159.133333333	Oceanic	Austronesian	Word Order
kro	Krongo	6	None	10.5	30.0	Kadugli	Kadu	Word Order
