Leon Stassen. 2013. Predicative Possession.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/117, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	5	'Have'	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ace	Acehnese	3	Topic	5.5	95.5	Malayo-Sumbawan	Austronesian	Simple Clauses
acl	Acholi	4	Conjunctional	3.0	32.6666666667	Nilotic	Eastern Sudanic	Simple Clauses
ahu	Aghu	3	Topic	-6.16666666667	140.166666667	Awju-Dumut	Trans-New Guinea	Simple Clauses
agl	Aghul	1	Locational	41.75	47.6666666667	Lezgic	Nakh-Daghestanian	Simple Clauses
ain	Ainu	5	'Have'	43.0	143.0	Ainu	Ainu	Simple Clauses
akn	Akan	3	Topic	6.5	-1.25	Kwa	Niger-Congo	Simple Clauses
abm	Alabama	1	Locational	32.3333333333	-87.4166666667	Muskogean	Muskogean	Simple Clauses
ala	Alamblak	4	Conjunctional	-4.66666666667	143.333333333	Sepik Hill	Sepik	Simple Clauses
alb	Albanian	5	'Have'	41.0	20.0	Albanian	Indo-European	Simple Clauses
ame	Amele	4	Conjunctional	-5.25	145.583333333	Madang	Trans-New Guinea	Simple Clauses
amh	Amharic	1	Locational	10.0	38.0	Semitic	Afro-Asiatic	Simple Clauses
apl	Apalaí	4	Conjunctional	0.0	-54.0	Cariban	Cariban	Simple Clauses
aeg	Arabic (Egyptian)	1	Locational	30.0	31.0	Semitic	Afro-Asiatic	Simple Clauses
arc	Archi	2	Genitive	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Simple Clauses
arm	Armenian (Eastern)	2	Genitive	40.0	45.0	Armenian	Indo-European	Simple Clauses
amp	Arrernte (Mparntwe)	1	Locational	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
asm	Asmat	3	Topic	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Simple Clauses
ava	Avar	2	Genitive	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
awt	Awtuw	3	Topic	-3.58333333333	142.0	Ram	Sepik	Simple Clauses
bab	Babungo	5	'Have'	6.11666666667	10.4166666667	Bantoid	Niger-Congo	Simple Clauses
bam	Bambara	1	Locational	12.5	-7.5	Western Mande	Mande	Simple Clauses
bgg	Banggai	3	Topic	-1.41666666667	123.166666667	Celebic	Austronesian	Simple Clauses
bar	Bari	4	Conjunctional	5.0	31.6666666667	Nilotic	Eastern Sudanic	Simple Clauses
bsq	Basque	5	'Have'	43.0	-3.0	Basque	Basque	Simple Clauses
bto	Batak (Toba)	3	Topic	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Simple Clauses
bej	Beja	2	Genitive	18.0	36.0	Beja	Afro-Asiatic	Simple Clauses
ben	Bengali	2	Genitive	24.0	90.0	Indic	Indo-European	Simple Clauses
bln	Bilin	1	Locational	15.75	38.5	Central Cushitic	Afro-Asiatic	Simple Clauses
bir	Birom	5	'Have'	9.66666666667	8.83333333333	Platoid	Niger-Congo	Simple Clauses
brr	Bororo	3	Topic	-16.0	-57.0	Bororoan	Bororoan	Simple Clauses
bre	Breton	1	Locational	48.0	-3.0	Celtic	Indo-European	Simple Clauses
bri	Bribri	4	Conjunctional	9.41666666667	-83.0	Talamanca	Chibchan	Simple Clauses
brm	Burmese	1	Locational	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Simple Clauses
bur	Burushaski	2	Genitive	36.5	74.5	Burushaski	Burushaski	Simple Clauses
ckr	Canela-Krahô	1	Locational	-6.0	-46.0	Ge-Kaingang	Macro-Ge	Simple Clauses
car	Carib	4	Conjunctional	5.5	-56.0	Cariban	Cariban	Simple Clauses
ceb	Cebuano	3	Topic	10.0	124.0	Greater Central Philippine	Austronesian	Simple Clauses
chc	Chechen	2	Genitive	43.25	45.8333333333	Nakh	Nakh-Daghestanian	Simple Clauses
cmh	Chemehuevi	5	'Have'	34.3333333333	-115.166666667	Numic	Uto-Aztecan	Simple Clauses
cct	Choctaw	3	Topic	32.25	-88.5	Muskogean	Muskogean	Simple Clauses
chk	Chukchi	4	Conjunctional	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Simple Clauses
cil	CiLuba	4	Conjunctional	-6.0	22.0	Bantoid	Niger-Congo	Simple Clauses
coo	Coos (Hanis)	4	Conjunctional	43.5	-124.166666667	Coosan	Oregon Coast	Simple Clauses
cop	Coptic	1	Locational	26.0	32.0	Egyptian-Coptic	Afro-Asiatic	Simple Clauses
cze	Czech	5	'Have'	50.0	15.0	Slavic	Indo-European	Simple Clauses
dag	Daga	4	Conjunctional	-10.0	149.333333333	Dagan	Dagan	Simple Clauses
din	Dinka	5	'Have'	8.5	28.0	Nilotic	Eastern Sudanic	Simple Clauses
dio	Diola-Fogny	5	'Have'	13.0	-16.25	Northern Atlantic	Niger-Congo	Simple Clauses
diy	Diyari	4	Conjunctional	-28.0	139.0	Central Pama-Nyungan	Pama-Nyungan	Simple Clauses
dua	Duala	4	Conjunctional	4.0	9.41666666667	Bantoid	Niger-Congo	Simple Clauses
dmk	Dumaki	1	Locational	36.1666666667	74.0	Indic	Indo-European	Simple Clauses
dut	Dutch	5	'Have'	52.5	6.0	Germanic	Indo-European	Simple Clauses
dyi	Dyirbal	4	Conjunctional	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Simple Clauses
eka	Ekari	4	Conjunctional	-3.83333333333	135.5	Wissel Lakes-Kemandoga	Trans-New Guinea	Simple Clauses
eng	English	5	'Have'	52.0	0.0	Germanic	Indo-European	Simple Clauses
evn	Even	2	Genitive	68.0	130.0	Tungusic	Altaic	Simple Clauses
ewe	Ewe	1	Locational	6.33333333333	0.416666666667	Kwa	Niger-Congo	Simple Clauses
fij	Fijian	1	Locational	-17.8333333333	178.0	Oceanic	Austronesian	Simple Clauses
fin	Finnish	1	Locational	62.0	25.0	Finnic	Uralic	Simple Clauses
fni	Fula (Nigerian)	3	Topic	8.16666666667	10.5	Northern Atlantic	Niger-Congo	Simple Clauses
gae	Gaelic (Scots)	1	Locational	57.0	-4.0	Celtic	Indo-European	Simple Clauses
gll	Galela	4	Conjunctional	2.41666666667	128.333333333	North Halmaheran	West Papuan	Simple Clauses
