Michael Daniel. 2013. Plurality in Independent Personal Pronouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/35, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
abi	Abipón	4	Person-number stem	-29.0	-61.0	South Guaicuruan	Guaicuruan	Nominal Categories
abk	Abkhaz	4	Person-number stem	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Nominal Categories
aco	Acoma	1	No independent subject pronouns	34.9166666667	-107.583333333	Keresan	Keresan	Nominal Categories
ain	Ainu	3	Person-number affixes	43.0	143.0	Ainu	Ainu	Nominal Categories
ala	Alamblak	6	Person-number stem + nominal plural affix	-4.66666666667	143.333333333	Sepik Hill	Sepik	Nominal Categories
ale	Aleut	3	Person-number affixes	54.0	-166.0	Aleut	Eskimo-Aleut	Nominal Categories
ame	Amele	5	Person-number stem + pronominal plural affix	-5.25	145.583333333	Madang	Trans-New Guinea	Nominal Categories
amh	Amharic	4	Person-number stem	10.0	38.0	Semitic	Afro-Asiatic	Nominal Categories
apu	Apurinã	3	Person-number affixes	-9.0	-67.0	Purus	Arawakan	Nominal Categories
abn	Arabana	4	Person-number stem	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
aeg	Arabic (Egyptian)	4	Person-number stem	30.0	31.0	Semitic	Afro-Asiatic	Nominal Categories
ana	Araona	7	Person stem + pronominal plural affix	-12.3333333333	-67.75	Tacanan	Tacanan	Nominal Categories
arp	Arapesh (Mountain)	5	Person-number stem + pronominal plural affix	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Nominal Categories
arm	Armenian (Eastern)	5	Person-number stem + pronominal plural affix	40.0	45.0	Armenian	Indo-European	Nominal Categories
asm	Asmat	7	Person stem + pronominal plural affix	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Nominal Categories
awp	Awa Pit	4	Person-number stem	1.5	-78.25	Barbacoan	Barbacoan	Nominal Categories
aym	Aymara (Central)	6	Person-number stem + nominal plural affix	-17.0	-69.0	Aymaran	Aymaran	Nominal Categories
bag	Bagirmi	6	Person-number stem + nominal plural affix	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
bam	Bambara	4	Person-number stem	12.5	-7.5	Western Mande	Mande	Nominal Categories
brs	Barasano	8	Person stem + nominal plural affix	-0.166666666667	-70.6666666667	Tucanoan	Tucanoan	Nominal Categories
bsq	Basque	4	Person-number stem	43.0	-3.0	Basque	Basque	Nominal Categories
bkr	Batak (Karo)	4	Person-number stem	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Nominal Categories
baw	Bawm	5	Person-number stem + pronominal plural affix	22.5	92.25	Kuki-Chin	Sino-Tibetan	Nominal Categories
bej	Beja	4	Person-number stem	18.0	36.0	Beja	Afro-Asiatic	Nominal Categories
bma	Berber (Middle Atlas)	5	Person-number stem + pronominal plural affix	33.0	-5.0	Berber	Afro-Asiatic	Nominal Categories
brh	Brahui	4	Person-number stem	28.5	67.0	Northern Dravidian	Dravidian	Nominal Categories
bri	Bribri	4	Person-number stem	9.41666666667	-83.0	Talamanca	Chibchan	Nominal Categories
but	Buriat	8	Person stem + nominal plural affix	52.0	108.0	Mongolic	Altaic	Nominal Categories
brm	Burmese	2	Number-indifferent pronouns	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Nominal Categories
bur	Burushaski	4	Person-number stem	36.5	74.5	Burushaski	Burushaski	Nominal Categories
cah	Cahuilla	6	Person-number stem + nominal plural affix	33.5	-116.25	California Uto-Aztecan	Uto-Aztecan	Nominal Categories
ckr	Canela-Krahô	2	Number-indifferent pronouns	-6.0	-46.0	Ge-Kaingang	Macro-Ge	Nominal Categories
cnt	Cantonese	8	Person stem + nominal plural affix	23.0	113.0	Chinese	Sino-Tibetan	Nominal Categories
car	Carib	4	Person-number stem	5.5	-56.0	Cariban	Cariban	Nominal Categories
cyv	Cayuvava	3	Person-number affixes	-13.5	-65.5	Cayuvava	Cayuvava	Nominal Categories
cha	Chamorro	4	Person-number stem	13.45	144.75	Chamorro	Austronesian	Nominal Categories
cle	Chinantec (Lealao)	3	Person-number affixes	17.3333333333	-95.9166666667	Chinantecan	Oto-Manguean	Nominal Categories
chp	Chipewyan	5	Person-number stem + pronominal plural affix	59.0	-106.0	Athapaskan	Na-Dene	Nominal Categories
ctm	Chitimacha	4	Person-number stem	29.6666666667	-91.0	Chitimacha	Chitimacha	Nominal Categories
chk	Chukchi	7	Person stem + pronominal plural affix	67.0	-173.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
chv	Chuvash	7	Person stem + pronominal plural affix	55.5	47.5	Turkic	Altaic	Nominal Categories
ccp	Cocopa	2	Number-indifferent pronouns	32.3333333333	-115.0	Yuman	Hokan	Nominal Categories
cmn	Comanche	7	Person stem + pronominal plural affix	33.5	-101.5	Numic	Uto-Aztecan	Nominal Categories
coo	Coos (Hanis)	3	Person-number affixes	43.5	-124.166666667	Coosan	Oregon Coast	Nominal Categories
cre	Cree (Plains)	3	Person-number affixes	54.0	-110.0	Algonquian	Algic	Nominal Categories
dag	Daga	4	Person-number stem	-10.0	149.333333333	Dagan	Dagan	Nominal Categories
dgr	Dagur	7	Person stem + pronominal plural affix	48.0	124.0	Mongolic	Altaic	Nominal Categories
dni	Dani (Lower Grand Valley)	5	Person-number stem + pronominal plural affix	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Nominal Categories
drg	Dargwa	7	Person stem + pronominal plural affix	42.25	47.4166666667	Lak-Dargwa	Nakh-Daghestanian	Nominal Categories
die	Diegueño (Mesa Grande)	7	Person stem + pronominal plural affix	32.6666666667	-116.166666667	Yuman	Hokan	Nominal Categories
dio	Diola-Fogny	4	Person-number stem	13.0	-16.25	Northern Atlantic	Niger-Congo	Nominal Categories
djr	Djaru	5	Person-number stem + pronominal plural affix	-18.75	128.0	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
dre	Drehu	5	Person-number stem + pronominal plural affix	-21.0	167.25	Oceanic	Austronesian	Nominal Categories
eka	Ekari	7	Person stem + pronominal plural affix	-3.83333333333	135.5	Wissel Lakes-Kemandoga	Trans-New Guinea	Nominal Categories
eng	English	4	Person-number stem	52.0	0.0	Germanic	Indo-European	Nominal Categories
epe	Epena Pedee	4	Person-number stem	3.0	-77.0	Choco	Choco	Nominal Categories
err	Erromangan	4	Person-number stem	-18.8333333333	169.166666667	Oceanic	Austronesian	Nominal Categories
eve	Evenki	7	Person stem + pronominal plural affix	56.0	125.0	Tungusic	Altaic	Nominal Categories
ewe	Ewe	6	Person-number stem + nominal plural affix	6.33333333333	0.416666666667	Kwa	Niger-Congo	Nominal Categories
fij	Fijian	5	Person-number stem + pronominal plural affix	-17.8333333333	178.0	Oceanic	Austronesian	Nominal Categories
fin	Finnish	4	Person-number stem	62.0	25.0	Finnic	Uralic	Nominal Categories
fre	French	6	Person-number stem + nominal plural affix	48.0	2.0	Romance	Indo-European	Nominal Categories
fur	Fur	4	Person-number stem	13.5	25.0	Fur	Fur	Nominal Categories
fut	Futuna-Aniwa	5	Person-number stem + pronominal plural affix	-19.5333333333	170.216666667	Oceanic	Austronesian	Nominal Categories
gar	Garo	4	Person-number stem	25.6666666667	90.5	Bodo-Garo	Sino-Tibetan	Nominal Categories
geo	Georgian	5	Person-number stem + pronominal plural affix	42.0	44.0	Kartvelian	Kartvelian	Nominal Categories
ger	German	4	Person-number stem	52.0	10.0	Germanic	Indo-European	Nominal Categories
goo	Gooniyandi	6	Person-number stem + nominal plural affix	-18.3333333333	126.333333333	Bunuban	Bunuban	Nominal Categories
grb	Grebo	4	Person-number stem	5.0	-8.0	Kru	Niger-Congo	Nominal Categories
grk	Greek (Modern)	5	Person-number stem + pronominal plural affix	39.0	22.0	Greek	Indo-European	Nominal Categories
grw	Greenlandic (West)	4	Person-number stem	64.0	-51.0	Eskimo	Eskimo-Aleut	Nominal Categories
gua	Guaraní	4	Person-number stem	-26.0	-56.0	Tupi-Guaraní	Tupian	Nominal Categories
guu	Guugu Yimidhirr	4	Person-number stem	-15.0	144.833333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
hai	Haida	6	Person-number stem + nominal plural affix	53.0	-132.0	Haida	Haida	Nominal Categories
ham	Hamtai	4	Person-number stem	-7.5	146.25	Angan	Trans-New Guinea	Nominal Categories
hau	Hausa	5	Person-number stem + pronominal plural affix	12.0	7.0	West Chadic	Afro-Asiatic	Nominal Categories
haw	Hawaiian	5	Person-number stem + pronominal plural affix	19.5833333333	-155.5	Oceanic	Austronesian	Nominal Categories
heb	Hebrew (Modern)	4	Person-number stem	31.5	34.8333333333	Semitic	Afro-Asiatic	Nominal Categories
hin	Hindi	4	Person-number stem	25.0	77.0	Indic	Indo-European	Nominal Categories
hix	Hixkaryana	4	Person-number stem	-1.0	-59.0	Cariban	Cariban	Nominal Categories
hmo	Hmong Njua	4	Person-number stem	28.0	105.0	Hmong-Mien	Hmong-Mien	Nominal Categories
hmi	Huitoto (Minica)	5	Person-number stem + pronominal plural affix	-0.333333333333	-74.0	Huitoto	Huitotoan	Nominal Categories
hun	Hungarian	4	Person-number stem	47.0	20.0	Ugric	Uralic	Nominal Categories
hzb	Hunzib	4	Person-number stem	42.1666666667	46.25	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
iba	Iban	4	Person-number stem	2.0	112.0	Malayo-Sumbawan	Austronesian	Nominal Categories
igb	Igbo	4	Person-number stem	6.0	7.33333333333	Igboid	Niger-Congo	Nominal Categories
ika	Ika	5	Person-number stem + pronominal plural affix	10.6666666667	-73.75	Arhuacic	Chibchan	Nominal Categories
imo	Imonda	2	Number-indifferent pronouns	-3.33333333333	141.166666667	Border	Border	Nominal Categories
ind	Indonesian	4	Person-number stem	0.0	106.0	Malayo-Sumbawan	Austronesian	Nominal Categories
ing	Ingush	4	Person-number stem	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Nominal Categories
irq	Iraqw	4	Person-number stem	-4.0	35.5	Southern Cushitic	Afro-Asiatic	Nominal Categories
iri	Irish	4	Person-number stem	53.0	-8.0	Celtic	Indo-European	Nominal Categories
ite	Itelmen	6	Person-number stem + nominal plural affix	57.0	157.5	Southern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
jak	Jakaltek	3	Person-number affixes	15.6666666667	-91.6666666667	Mayan	Mayan	Nominal Categories
jpn	Japanese	8	Person stem + nominal plural affix	37.0	140.0	Japanese	Japanese	Nominal Categories
juh	Ju|'hoan	5	Person-number stem + pronominal plural affix	-19.0	21.0	Ju-Kung	Kxa	Nominal Categories
kmk	Kalmyk	7	Person stem + pronominal plural affix	44.0	83.0	Mongolic	Altaic	Nominal Categories
kam	Kambera	3	Person-number affixes	-9.83333333333	120.166666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
knd	Kannada	7	Person stem + pronominal plural affix	14.0	76.0	Southern Dravidian	Dravidian	Nominal Categories
knr	Kanuri	5	Person-number stem + pronominal plural affix	12.0	13.0	Western Saharan	Saharan	Nominal Categories
krk	Karok	4	Person-number stem	41.6666666667	-123.0	Karok	Karok	Nominal Categories
kyl	Kayah Li (Eastern)	4	Person-number stem	19.0	97.5	Karen	Sino-Tibetan	Nominal Categories
kay	Kayardild	5	Person-number stem + pronominal plural affix	-17.05	139.5	Tangkic	Tangkic	Nominal Categories
ker	Kera	4	Person-number stem	9.83333333333	15.0833333333	East Chadic	Afro-Asiatic	Nominal Categories
ket	Ket	6	Person-number stem + nominal plural affix	64.0	87.0	Yeniseian	Yeniseian	Nominal Categories
kew	Kewa	4	Person-number stem	-6.5	143.833333333	Engan	Trans-New Guinea	Nominal Categories
kha	Khalkha	8	Person stem + nominal plural affix	47.0	105.0	Mongolic	Altaic	Nominal Categories
khs	Khasi	7	Person stem + pronominal plural affix	25.5	92.0	Khasian	Austro-Asiatic	Nominal Categories
khm	Khmer	4	Person-number stem	12.5	105.0	Khmer	Austro-Asiatic	Nominal Categories
kmu	Khmu'	4	Person-number stem	21.0	102.0	Palaung-Khmuic	Austro-Asiatic	Nominal Categories
kho	Khoekhoe	3	Person-number affixes	-25.5	18.0	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
klv	Kilivila	4	Person-number stem	-8.5	151.083333333	Oceanic	Austronesian	Nominal Categories
kio	Kiowa	2	Number-indifferent pronouns	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Categories
krb	Kiribati	4	Person-number stem	1.33333333333	173.0	Oceanic	Austronesian	Nominal Categories
koa	Koasati	3	Person-number affixes	34.8333333333	-85.1666666667	Muskogean	Muskogean	Nominal Categories
kob	Kobon	4	Person-number stem	-5.16666666667	144.333333333	Madang	Trans-New Guinea	Nominal Categories
kon	Kongo	4	Person-number stem	-5.0	15.0	Bantoid	Niger-Congo	Nominal Categories
kor	Korean	6	Person-number stem + nominal plural affix	37.5	128.0	Korean	Korean	Nominal Categories
kfe	Koromfe	3	Person-number affixes	14.25	-0.916666666667	Gur	Niger-Congo	Nominal Categories
kos	Kosraean	5	Person-number stem + pronominal plural affix	5.3	163.0	Oceanic	Austronesian	Nominal Categories
kse	Koyraboro Senni	4	Person-number stem	16.0	0.0	Songhay	Songhay	Nominal Categories
kro	Krongo	4	Person-number stem	10.5	30.0	Kadugli	Kadu	Nominal Categories
knm	Kunama	5	Person-number stem + pronominal plural affix	14.5	37.0	Kunama	Kunama	Nominal Categories
krd	Kurdish (Central)	4	Person-number stem	36.0	44.0	Iranian	Indo-European	Nominal Categories
kut	Kutenai	4	Person-number stem	49.5	-116.0	Kutenai	Kutenai	Nominal Categories
kwa	Kwaio	4	Person-number stem	-8.95	161.0	Oceanic	Austronesian	Nominal Categories
lad	Ladakhi	8	Person stem + nominal plural affix	34.0	78.0	Bodic	Sino-Tibetan	Nominal Categories
lah	Lahu	8	Person stem + nominal plural affix	20.0	98.1666666667	Burmese-Lolo	Sino-Tibetan	Nominal Categories
lak	Lak	4	Person-number stem	42.1666666667	47.1666666667	Lak-Dargwa	Nakh-Daghestanian	Nominal Categories
lkt	Lakhota	3	Person-number affixes	43.8333333333	-101.833333333	Core Siouan	Siouan	Nominal Categories
lan	Lango	3	Person-number affixes	2.16666666667	33.0	Nilotic	Eastern Sudanic	Nominal Categories
lat	Latvian	4	Person-number stem	57.0	24.0	Baltic	Indo-European	Nominal Categories
lav	Lavukaleve	4	Person-number stem	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Nominal Categories
lep	Lepcha	5	Person-number stem + pronominal plural affix	27.1666666667	88.5	Lepcha	Sino-Tibetan	Nominal Categories
lez	Lezgian	4	Person-number stem	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
lim	Limbu	5	Person-number stem + pronominal plural affix	27.1666666667	87.75	Mahakiranti	Sino-Tibetan	Nominal Categories
lin	Lingala	5	Person-number stem + pronominal plural affix	2.0	18.5	Bantoid	Niger-Congo	Nominal Categories
luv	Luvale	4	Person-number stem	-12.0	22.0	Bantoid	Niger-Congo	Nominal Categories
mab	Maba	5	Person-number stem + pronominal plural affix	13.75	20.8333333333	Maban	Maban	Nominal Categories
mac	Macushi	4	Person-number stem	4.0	-60.0	Cariban	Cariban	Nominal Categories
mak	Makah	4	Person-number stem	48.3333333333	-124.666666667	Southern Wakashan	Wakashan	Nominal Categories
mal	Malagasy	4	Person-number stem	-20.0	47.0	Barito	Austronesian	Nominal Categories
mnd	Mandarin	8	Person stem + nominal plural affix	34.0	110.0	Chinese	Sino-Tibetan	Nominal Categories
myi	Mangarrayi	6	Person-number stem + nominal plural affix	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Nominal Categories
mns	Mansi	5	Person-number stem + pronominal plural affix	62.0	62.0	Ugric	Uralic	Nominal Categories
mao	Maori	5	Person-number stem + pronominal plural affix	-40.0	176.0	Oceanic	Austronesian	Nominal Categories
map	Mapudungun	4	Person-number stem	-38.0	-72.0	Araucanian	Araucanian	Nominal Categories
mku	Maranungku	5	Person-number stem + pronominal plural affix	-13.6666666667	130.0	Wagaydy	Western Daly	Nominal Categories
mny	Margany	4	Person-number stem	-27.0	144.5	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
mar	Maricopa	2	Number-indifferent pronouns	33.1666666667	-113.166666667	Yuman	Hokan	Nominal Categories
mrd	Marind	8	Person stem + nominal plural affix	-7.83333333333	140.166666667	Marind Proper	Marind	Nominal Categories
mrt	Martuthunira	5	Person-number stem + pronominal plural affix	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Nominal Categories
mau	Maung	5	Person-number stem + pronominal plural affix	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Nominal Categories
may	Maybrat	4	Person-number stem	-1.33333333333	132.5	North-Central Bird's Head	West Papuan	Nominal Categories
meh	Mehri	4	Person-number stem	17.0	51.5	Semitic	Afro-Asiatic	Nominal Categories
mei	Meithei	8	Person stem + nominal plural affix	24.75	94.0	Kuki-Chin	Sino-Tibetan	Nominal Categories
mss	Miwok (Southern Sierra)	4	Person-number stem	37.5	-120.0	Miwok	Penutian	Nominal Categories
mxc	Mixtec (Chalcatongo)	8	Person stem + nominal plural affix	17.05	-97.5833333333	Mixtecan	Oto-Manguean	Nominal Categories
mok	Mokilese	5	Person-number stem + pronominal plural affix	6.66666666667	159.75	Oceanic	Austronesian	Nominal Categories
mna	Muna	4	Person-number stem	-5.0	122.5	Celebic	Austronesian	Nominal Categories
mun	Mundari	3	Person-number affixes	23.0	84.6666666667	Munda	Austro-Asiatic	Nominal Categories
