Gregory D.S. Anderson. 2013. The Velar Nasal.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/9, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
apk	A-Pucikwar	1	Initial velar nasal	12.1666666667	92.8333333333	Great Andamanese	Great Andamanese	Phonology
abz	Abaza	3	No velar nasal	44.0	42.0	Northwest Caucasian	Northwest Caucasian	Phonology
abi	Abipón	3	No velar nasal	-29.0	-61.0	South Guaicuruan	Guaicuruan	Phonology
abk	Abkhaz	3	No velar nasal	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Phonology
aco	Acoma	3	No velar nasal	34.9166666667	-107.583333333	Keresan	Keresan	Phonology
ady	Adyghe (Abzakh)	3	No velar nasal	45.2333333333	40.5833333333	Northwest Caucasian	Northwest Caucasian	Phonology
agu	Aguacatec	3	No velar nasal	15.4166666667	-91.3333333333	Mayan	Mayan	Phonology
agr	Aguaruna	2	No initial velar nasal	-5.0	-78.0	Jivaroan	Jivaroan	Phonology
aik	Aikaná	3	No velar nasal	-12.6666666667	-60.6666666667	Aikaná	Aikaná	Phonology
ain	Ainu	3	No velar nasal	43.0	143.0	Ainu	Ainu	Phonology
akb	Aka-Biada	1	Initial velar nasal	11.6666666667	92.5	Great Andamanese	Great Andamanese	Phonology
akc	Aka-Cari	1	Initial velar nasal	13.5	93.0	Great Andamanese	Great Andamanese	Phonology
akk	Aka-Kede	1	Initial velar nasal	12.75	92.75	Great Andamanese	Great Andamanese	Phonology
axv	Akhvakh	3	No velar nasal	42.3333333333	46.3333333333	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
abm	Alabama	3	No velar nasal	32.3333333333	-87.4166666667	Muskogean	Muskogean	Phonology
ala	Alamblak	3	No velar nasal	-4.66666666667	143.333333333	Sepik Hill	Sepik	Phonology
alb	Albanian	3	No velar nasal	41.0	20.0	Albanian	Indo-European	Phonology
ale	Aleut	1	Initial velar nasal	54.0	-166.0	Aleut	Eskimo-Aleut	Phonology
aso	Altai (Southern)	2	No initial velar nasal	51.0	87.0	Turkic	Altaic	Phonology
aln	Alune	3	No velar nasal	-3.0	128.333333333	Central Malayo-Polynesian	Austronesian	Phonology
alu	Alutor	1	Initial velar nasal	61.0	165.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
amn	Amanab	2	No initial velar nasal	-3.58333333333	141.25	Border	Border	Phonology
ame	Amele	3	No velar nasal	-5.25	145.583333333	Madang	Trans-New Guinea	Phonology
amh	Amharic	3	No velar nasal	10.0	38.0	Semitic	Afro-Asiatic	Phonology
amz	Amuzgo	3	No velar nasal	16.8333333333	-98.0	Amuzgoan	Oto-Manguean	Phonology
adk	Andoke	3	No velar nasal	-0.666666666667	-72.0	Andoke	Andoke	Phonology
apu	Apurinã	3	No velar nasal	-9.0	-67.0	Purus	Arawakan	Phonology
arb	Arabela	3	No velar nasal	-2.0	-75.1666666667	Zaparoan	Zaparoan	Phonology
aeg	Arabic (Egyptian)	3	No velar nasal	30.0	31.0	Semitic	Afro-Asiatic	Phonology
amr	Arabic (Moroccan)	3	No velar nasal	34.0	-6.0	Semitic	Afro-Asiatic	Phonology
ana	Araona	3	No velar nasal	-12.3333333333	-67.75	Tacanan	Tacanan	Phonology
aho	Arapaho	3	No velar nasal	40.0	-103.0	Algonquian	Algic	Phonology
arp	Arapesh (Mountain)	3	No velar nasal	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Phonology
ara	Arawak	3	No velar nasal	5.5	-55.1666666667	Caribbean Arawakan	Arawakan	Phonology
arc	Archi	3	No velar nasal	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Phonology
arm	Armenian (Eastern)	3	No velar nasal	40.0	45.0	Armenian	Indo-European	Phonology
asm	Asmat	3	No velar nasal	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Phonology
ats	Atsugewi	2	No initial velar nasal	40.75	-121.0	Palaihnihan	Hokan	Phonology
awp	Awa Pit	3	No velar nasal	1.5	-78.25	Barbacoan	Barbacoan	Phonology
awn	Awngi	2	No initial velar nasal	10.8333333333	36.6666666667	Central Cushitic	Afro-Asiatic	Phonology
aym	Aymara (Central)	3	No velar nasal	-17.0	-69.0	Aymaran	Aymaran	Phonology
aze	Azerbaijani	3	No velar nasal	40.5	48.5	Turkic	Altaic	Phonology
bag	Bagirmi	1	Initial velar nasal	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Phonology
bgv	Bagvalal	3	No velar nasal	42.5833333333	46.1666666667	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
blc	Baluchi	3	No velar nasal	28.0	62.0	Iranian	Indo-European	Phonology
bam	Bambara	1	Initial velar nasal	12.5	-7.5	Western Mande	Mande	Phonology
bnj	Bandjalang	1	Initial velar nasal	-28.75	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
bao	Bao'an	1	Initial velar nasal	35.75	102.833333333	Mongolic	Altaic	Phonology
