Matthew S. Dryer. 2013. Position of Negative Morpheme With Respect to Subject, Object, and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Leipzig: Max Planck Institute for Evolutionary Anthropology.
(Available online at http://wals.info/chapter/144, Accessed on 2017-07-18.)


wals code	name	value	description	latitude	longitude	genus	family	area
aba	Abau	1	Word&NoDoubleNeg	-4.0	141.25	Upper Sepik	Sepik	Word Order
abk	Abkhaz	2	Suffix&NoDoubleNeg	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Word Order
abv	Abui	1	Word&NoDoubleNeg	-8.25	124.666666667	Greater Alor	Timor-Alor-Pantar	Word Order
adg	Adang	3	Word&OptDoubleNeg	-8.2	124.0	Greater Alor	Timor-Alor-Pantar	Word Order
ain	Ainu	11	NoSOVNeg	43.0	143.0	Ainu	Ainu	Word Order
ajg	Ajagbe	1	Word&NoDoubleNeg	7.0	1.75	Kwa	Niger-Congo	Word Order
akh	Akha	11	NoSOVNeg	21.8333333333	99.8333333333	Burmese-Lolo	Sino-Tibetan	Word Order
all	Ala'ala	11	NoSOVNeg	-8.91666666667	146.75	Oceanic	Austronesian	Word Order
ala	Alamblak	11	NoSOVNeg	-4.66666666667	143.333333333	Sepik Hill	Sepik	Word Order
aly	Alyawarra	2	Suffix&NoDoubleNeg	-22.5	135.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
amn	Amanab	6	Suffix&OnlyWithAnotherNeg	-3.58333333333	141.25	Border	Border	Word Order
amb	Ambulas	2	Suffix&NoDoubleNeg	-3.83333333333	143.0	Middle Sepik	Sepik	Word Order
ame	Amele	4	Suffix&OptDoubleNeg	-5.25	145.583333333	Madang	Trans-New Guinea	Word Order
amh	Amharic	6	Suffix&OnlyWithAnotherNeg	10.0	38.0	Semitic	Afro-Asiatic	Word Order
agm	Angami	1	Word&NoDoubleNeg	25.6666666667	94.5	Kuki-Chin	Sino-Tibetan	Word Order
ang	Anggor	2	Suffix&NoDoubleNeg	-3.75	141.166666667	Senagi	Senagi	Word Order
ao	Ao	6	Suffix&OnlyWithAnotherNeg	26.5833333333	94.6666666667	Kuki-Chin	Sino-Tibetan	Word Order
apw	Apache (Western)	6	Suffix&OnlyWithAnotherNeg	33.75	-110.0	Athapaskan	Na-Dene	Word Order
apl	Apalaí	2	Suffix&NoDoubleNeg	0.0	-54.0	Cariban	Cariban	Word Order
apt	Apatani	2	Suffix&NoDoubleNeg	27.5	93.75	Tani	Sino-Tibetan	Word Order
abn	Arabana	11	NoSOVNeg	-28.25	136.25	Central Pama-Nyungan	Pama-Nyungan	Word Order
arc	Archi	2	Suffix&NoDoubleNeg	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Word Order
arm	Armenian (Eastern)	11	NoSOVNeg	40.0	45.0	Armenian	Indo-European	Word Order
arw	Armenian (Western)	11	NoSOVNeg	38.5	43.5	Armenian	Indo-European	Word Order
amp	Arrernte (Mparntwe)	2	Suffix&NoDoubleNeg	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Word Order
asm	Asmat	1	Word&NoDoubleNeg	-5.5	138.5	Asmat-Kamoro	Trans-New Guinea	Word Order
ass	Assamese	11	NoSOVNeg	26.0	93.0	Indic	Indo-European	Word Order
ath	Athpare	2	Suffix&NoDoubleNeg	27.0	87.3333333333	Mahakiranti	Sino-Tibetan	Word Order
ava	Avar	1	Word&NoDoubleNeg	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Word Order
awa	Awa	11	NoSOVNeg	-6.66666666667	145.75	Eastern Highlands	Trans-New Guinea	Word Order
awp	Awa Pit	10	Type 5 / Type 6	1.5	-78.25	Barbacoan	Barbacoan	Word Order
awt	Awtuw	11	NoSOVNeg	-3.58333333333	142.0	Ram	Sepik	Word Order
aym	Aymara (Central)	11	NoSOVNeg	-17.0	-69.0	Aymaran	Aymaran	Word Order
azi	Azari (Iranian)	2	Suffix&NoDoubleNeg	37.5	47.0	Turkic	Altaic	Word Order
aze	Azerbaijani	2	Suffix&NoDoubleNeg	40.5	48.5	Turkic	Altaic	Word Order
bdm	Badimaya	11	NoSOVNeg	-27.6666666667	118.0	Western Pama-Nyungan	Pama-Nyungan	Word Order
baf	Bafut	11	NoSOVNeg	6.25	9.91666666667	Bantoid	Niger-Congo	Word Order
blt	Balti	1	Word&NoDoubleNeg	35.0	76.0	Bodic	Sino-Tibetan	Word Order
bam	Bambara	11	NoSOVNeg	12.5	-7.5	Western Mande	Mande	Word Order
bao	Bao'an	11	NoSOVNeg	35.75	102.833333333	Mongolic	Altaic	Word Order
brl	Baragaunle	11	NoSOVNeg	28.8333333333	83.8333333333	Bodic	Sino-Tibetan	Word Order
baa	Barai	11	NoSOVNeg	-9.33333333333	148.083333333	Koiarian	Trans-New Guinea	Word Order
brp	Barupu	11	NoSOVNeg	-3.08333333333	142.083333333	Warapu	Skou	Word Order
bsq	Basque	11	NoSOVNeg	43.0	-3.0	Basque	Basque	Word Order
bzi	Bauzi	1	Word&NoDoubleNeg	-2.5	137.5	East Geelvink Bay	East Geelvink Bay	Word Order
baw	Bawm	1	Word&NoDoubleNeg	22.5	92.25	Kuki-Chin	Sino-Tibetan	Word Order
